sentiment1,sentiment2,ret_1_0,seas_1_1an,market_equity,ret_2_0,ret_3_0,ret_3_1,assets,sales,book_equity,net_income,enterprise_value,at_gr1,ca_gr1,nca_gr1,lt_gr1,at_gr3,cash_gr1a,ca_gr3,inv_gr1a,nca_gr3,rec_gr1a,lt_gr3,ppeg_gr1a,market_equity.1,yom,transcript_id,name,ticker,Report_Sent,QA_Sent
0.147795252,0.133,0.042471834,-0.110549234,11199.06925,0.118655018,0.209105017,0.159844303,18868,9359,5513,1172,22990.06925,0.015172711,0.287209302,-0.012569667,0.001446322,0.596007444,0.024432902,0.677272727,-0.000423998,0.585793182,-0.003921984,0.512861257,0.086663152,11199.06925,202007,1,"United Rentals, Inc.",URI,0.129307413,0.153856133
0.140881046,0.145,-0.186364457,0.074485026,10091.94393,-0.113426985,0.015871791,0.248558768,19405,9201,5450,1146,22391.94393,0.186559863,0.111702128,0.195198472,0.210061444,0.580855397,-0.000257666,0.389217134,0.001339861,0.604614962,0.008090698,0.467492548,0.144157062,10091.94393,202001,2,"United Rentals, Inc.",URI,0.10774093,0.151458695
0.155216697,0.161,-0.045841828,0.047513388,9764.977886,0.149409665,-0.101972727,-0.058827667,18586,8430,5089,1088,21984.97789,0.26538671,0.081761006,0.287677508,0.307910576,0.577223354,-0.01215969,0.455160745,0.002098354,0.590831919,0.017916712,0.479237577,0.144157062,9764.977886,201907,5,"United Rentals, Inc.",URI,0.147629426,0.158427026
0.156626038,0.146,0.071646407,-0.024485737,10038.58747,0.186656102,0.055472179,-0.015092878,19047,8829,5221,1088,22325.58747,0.260722796,0.221779549,0.265034554,0.303499665,0.571534654,-0.002205072,0.455696203,0.00215257,0.585022108,0.016905549,0.466283669,0.144157062,10038.58747,201910,7,"United Rentals, Inc.",URI,0.145631186,0.160250802
0.148061314,0.134,0.248785213,-0.218705654,9258.2965,-0.030042244,-0.052988451,-0.241653778,18970,9351,5717,1174,21345.2965,0.046158937,0.045996593,0.046176399,0.027834352,0.582415749,0.000474433,0.353416605,0.000579863,0.611743672,-0.000790722,0.464216634,0.086663152,9258.2965,202004,8,"United Rentals, Inc.",URI,0.145088681,0.149629535
0.190714163,0.16,-0.028423022,0.080856025,23157.34198,0.075896186,0.316612562,0.355129436,17868,8530,6313,890,33364.34198,-0.058091724,0.095005429,-0.074556282,-0.12001321,0.188822355,0.008394896,0.138261851,0.00027983,0.195580027,-0.012032684,0.117326401,-0.030053727,23157.34198,202104,10,"United Rentals, Inc.",URI,0.183174471,0.194424624
0.131949856,0.148,0.047863357,-0.023656914,17545.07859,0.07062296,0.363004112,0.30074604,17908,8707,5979,931,28124.07859,-0.077145066,-0.081339713,-0.076694819,-0.127451603,0.302968568,0.00636587,0.054301403,-0.001228501,0.336637753,-0.015132901,0.191970866,0.086663152,17545.07859,202101,11,"United Rentals, Inc.",URI,0.139017438,0.129131375
0.163156819,0.15,0.02171916,0.145841092,12861.30525,0.007003616,0.147518816,0.123125475,17900,9008,5727,1114,23845.30525,-0.060219457,-0.118478261,-0.053989655,-0.101226797,0.347485697,0.002905028,0.093728928,-0.001564246,0.379374629,-0.016703911,0.234386027,0.086663152,12861.30525,202010,12,"United Rentals, Inc.",URI,0.165109272,0.162270673
0.179640053,0.167,0.033039648,0.139537931,23856.12362,-0.013205183,0.030004615,-0.002937964,17542,8462,6518,920,33379.12362,-0.070277719,-0.094850949,-0.067010928,-0.159915972,0.194308279,-0.01339642,0.260377359,-5.70E-05,0.186287983,-0.009063961,0.100343938,-0.030053727,23856.12362,202107,13,"United Rentals, Inc.",URI,0.157640417,0.199849703
0.16661777,0.17,0.080300897,0.273094416,27445.28828,0.07503188,0.150386892,0.064876364,19641,8810,7005,1001,38091.28828,0.09726257,0.327990136,0.074272024,0.039591224,0.300039714,0.010641006,0.430278885,0.003411232,0.285619762,0.008859019,0.217933691,-0.030053727,27445.28828,202110,14,"United Rentals, Inc.",URI,0.141506674,0.177941616
0.164248574,0.177,0.151691496,0.116517171,54957.9554,0.067271621,0.235454036,0.072730015,5558.9,2910.5,1050.2,514.8,52894.5554,0.669038612,0.769457147,0.471343257,0.617935192,1.158209419,0.285362212,1.073535654,0.004281423,1.38920249,0.016028351,1.511111111,0.030203817,54957.9554,202110,15,"Fortinet, Inc.",FTNT,0.154191168,0.167057205
0.148452785,0.175,-0.014070443,0.101599738,13539.06743,0.03058699,0.092439247,0.108029716,3205.7,1874.8,1058.1,349.4,11776.66743,0.335318865,0.33269962,0.342156715,0.257966261,0.769617907,0.155317091,0.799251926,0.002620333,0.697158724,0.021181021,1.008758622,0.026047353,13539.06743,201908,17,"Fortinet, Inc.",FTNT,0.123342063,0.155055301
